country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
英国,英国斯旺西,swansea,2777人去过,Rhossili Bay|斯旺西城堡|斯旺西大学|斯旺西坞|斯旺西博物馆|Three cliffs bay|斯旺西湾|斯旺西休闲中心|使命画廊|斯旺西市场|威尔士国家植物园|国家海滨博物馆|斯旺西火车站|辛格顿公园|格林·维维安美术馆|斯旺西塔楼|自由球场|斯旺西客运站|奥斯特茅斯城堡|克莱恩花园,//place.qyer.com/swansea-uk/,https://pic.qyer.com/album/user/463/18/RU9WQxICaA/index/cover
英国,莱斯特,leicester,2692人去过,莱斯特市政厅|新沃克博物馆和美术馆|莱斯特大学植物园|莱斯特大教堂|莱斯特自由女神|皇权球场|国家航天中心博物馆|理查三世展览中心|Highcross Leicester|莱斯特火车站|犹太墙博物馆|国家瓦斯博物馆|阿什比德拉宙城堡|Abbey Pumping Station|Newarke Houses Museum & Gardens|布拉盖特公园|德蒙福特大学|曲线剧院|Bosworth Battlefield Heritage Centre and Country Park|修道院公园,//place.qyer.com/leicester/,https://pic.qyer.com/album/user/338/56/QkpdRxwPZg/index/cover
英国,切斯特,chester,2566人去过,街边廊|城墙|切斯特大教堂|东门大钟|柴郡奥克斯名牌奥特莱斯购物中心|切斯特罗马圆形竞技场|切斯特动物园|切斯特城堡|切斯特罗马花园|切斯特赛马场|圣约翰浸会教堂|葛洛斯文诺博物馆|切斯特图书馆|切斯特火车站|伊顿庄园|Wales Coast Path|格罗夫纳公园|柴郡军事博物馆|蓝色星球水族馆|美味中国,//place.qyer.com/chester/,https://pic.qyer.com/album/127/ac/2039783/index/cover
英国,埃文河畔斯特拉福德,stratford-upon-avon,2502人去过,莎士比亚出生地|圣三一教堂|纳什故居和新居|莎士比亚皇家剧院|埃文河|莎士比亚的坟墓|安妮海瑟薇农舍|霍尔农庄|玛丽雅顿农场|Shakespeare's Schoolroom & Guildhall|班克夫特花园|钟楼（美国喷泉）|埃文河畔斯特拉特福德小镇步行导赏|Lambs Restaurant|斯特拉特福德城际交通|都铎世界博物馆|The Old Thatch Tavern|埃文河畔斯特拉特福德火车站|The Garrick Inn|中利特顿谷仓,//place.qyer.com/stratford-upon-avon/,https://pic.qyer.com/album/user/334/76/QkpRRRwHYQ/index/cover
英国,坎特伯雷,canterbury,2142人去过,坎特伯雷大教堂|西门与城墙步道|坎特伯雷城堡|圣奥古斯汀修道院|圣马丁教堂|坎特伯雷故事中心|坎特伯雷博物馆|坎特伯雷罗马博物馆|西门花园|灰修士礼拜堂|东桥慈善院|坎特伯雷城际交通|坎特伯雷大教堂唱经|戴恩约翰花园|坎特伯雷节|比尼艺术与知识之家|Deeson's Restaurant|奇勒姆城堡|圣托马斯天主教堂|马洛威剧院,//place.qyer.com/canterbury/,https://pic.qyer.com/album/user/2184/44/Q0hdRh4DaEg/index/cover
英国,杜伦,durham,2116人去过,达勒姆大教堂|达勒姆城堡|达勒姆东方博物馆|杜伦大学植物园|Beamish露天博物馆|达勒姆灯节|达勒姆考古学博物馆|杜伦市政厅|绿色宫殿图书馆|圣尼古拉斯教堂|杜伦博物馆和世界遗产中心|杜伦火车站|沃顿公园|伍绍学院|伦利城堡|杜伦轻步兵团博物馆|奥克兰城堡|克鲁克庄园|国家铁路博物馆(希尔登分馆)|Finbarr's,//place.qyer.com/durham/,https://pic.qyer.com/album/user/412/40/RUhXRhoBaQ/index/cover
英国,温彻斯特,winchester,1975人去过,温彻斯特大教堂|温彻斯特天鹅湖|亚瑟王圆桌|Wolvesey城堡|西门博物馆|温切斯特磨坊|温彻斯特博物馆|High-street|圣十字架医院|马维尔动物园|古尔喀博物馆|The Chesil Rectory|皇家绿夹克团博物馆|阿温顿庄园|温彻斯特军事博物馆|温彻斯特皇家剧院|温彻斯特科技中心与天文馆,//place.qyer.com/winchester/,https://pic.qyer.com/album/user/398/80/QkBdShoCYQ/index/cover
英国,怀特岛,isle-of-wight,1922人去过,尼德尔斯古炮台|Sandown|尼德尔斯公园|奥斯本楼|卡里斯布鲁克城堡|The Needles|海景野生动物园|怀特岛公交车博物馆|Sandown Beach|Arreton庄园|Blackgang Chine游乐园|怀特岛音乐节|怀特岛沉船中心和海事博物馆|戈兹希尔万圣教堂|文特诺植物园|莫蒂斯通花园|唐纳德麦克吉尔博物馆|布兰丁罗马别墅|Seaview Hotel & Restaurant|猴子天堂（动物园）,//place.qyer.com/isle-of-wight/,https://pic.qyer.com/album/1f3/1c/2040737/index/cover
英国,多佛尔,dover,1729人去过,多佛尔白色悬崖|多佛城堡|南部海岬灯塔|悬崖下的圣玛格利特|圣玛格丽特大坝|多佛尔博物馆|多佛尔圣玛丽教堂|The Grand Shaft|罗马壁画馆|多佛尔交通博物馆|巡逻队纪念碑|松涛园|基尔斯尼修道院花园,//place.qyer.com/dover/,https://pic.qyer.com/album/user/3320/34/QkpXQhkDZU4/index/cover
英国,普利茅斯,plymouth,1628人去过,斯米顿塔|普利茅斯五月花|巴比坎区|普利茅斯高地|国家海洋水族馆|普利茅斯艺术中心|纽基菲斯特尔 (Fistral) 海滩|伊丽莎白花园|普利茅斯海军纪念碑|普利茅斯杜松子酒厂|Cap'n Jaspers|Rockfish|巴克兰修道院|Barbican Kitchen|普利茅斯市立博物馆和艺术馆|德文波特公园|普利茅斯火车站|普利茅斯皇家剧院|The Greedy Goose|Brittany Ferries,//place.qyer.com/plymouth-uk/,https://pic.qyer.com/album/user/326/31/QktTQRsCZg/index/cover
