标题,类型,地点,价格,评分,收藏数,地区
云朵•下楼春熙路/IFS大熊猫/太古里 近地铁『阳光投影一居室』,整套1室 · 1床 · 可住2~3人,春熙路/太古里商区,¥297,5.0,1074,成都
夏日优享【北尧·Evian】270度环幕/超大落地窗/浴缸文殊院/高品质轻奢法式公寓/投影,整套1室 · 1床 · 可住2人,文殊院/人民北路商业区,¥526,4.9,4002,成都
近李家坨，春熙路，太古里mini大床房,整套1室 · 1床 · 可住2人,成都火车北站/城北客运中心,¥268,5.0,155,成都
【蓁蓁♬ 相迎】近2/7号线成都东站300米/近商圈高清投影/春熙路/太古里近商圈温馨私享私人影院/投影设备,整套1室 · 1床 · 可住2人,火车东站/塔子山公园,¥310,5.0,49,成都
琵琶6|巨幕投影/落地窗/ins复式LOFT/宽窄巷子/双地铁/文殊院/天府广场/春熙路/太古里/锦里/武侯祠,整套1室 · 3床 · 可住6~8人,文殊院/人民北路商业区,¥388,4.6,143,成都
限量投影大床房/春熙路•太古里/近双地铁口,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥252,4.8,3587,成都
1408武侯祠锦里春熙路红牌楼地铁站超赞套三,整套3室 · 3床 · 可住6人,距春熙路直线5.3公里 武侯区,¥400,4.4,233,成都
【小铃铛】成都东站 .地铁2号线7号线 两居舒适3床房,整套2室 · 3床 · 可住6~7人,火车东站/塔子山公园,¥378,4.8,339,成都
【每客消毒】落日灯复古免费旗袍换装太古里春熙路,整套1室 · 2床 · 可住4人,春熙路/太古里商区,¥373,5.0,559,成都
【唐小妹儿】智能大床房|成都东站|步行200m|情侣约会|免费停车|支持发票|近地铁|天府广场|春熙路|太古里,整套1室 · 1床 · 可住2人,火车东站/塔子山公园,¥199,5.0,81,成都
【BUER】不二民宿 ·712 ·山谷 双流机场/空港国际城T5/极米投影仪/美学民宿,整套1室 · 1床 · 可住2人,距成都双流机场直线4.6公里 双流区,¥298,4.9,1483,成都
宽窄巷子 | 【熊有成竹】“熊猫”主题风 | 近地铁｜1公里范围内：中医药大学｜省医院｜省妇女儿童医院,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥265,4.7,108,成都
〖周租优惠〗每客消毒【方糖】超清投影|龙湖上城|情侣出行|可住2人‖人民北路地铁站&地铁六号线直达欢乐谷‖成都糖酒会,整套1室 · 1床 · 可住2人,文殊院/人民北路商业区,¥198,4.9,3434,成都
【兮若阁】宽窄巷子双地铁/省医院中医院/古风艺术四居,整套4室 · 4床 · 可住8人,宽窄巷子/中医学院附近,¥555,3.8,43,成都
【花熹坞暖:趁年轻多爱我一点】西南财大西门/超大落地窗/视野开阔/清新脱俗/共享麻将室/超美书屋/酒吧娱乐/小吃一条街,整套1室 · 1床 · 可住2人,国色天香乐园/温江大学城,¥148,5.0,12,成都
夏日优享【北尧.Evian Plus】40层高空云端270度环幕落地窗/文殊院/法式轻奢公寓/投影,整套1室 · 1床 · 可住2人,文殊院/人民北路商业区,¥538,4.8,1306,成都
【聆玺】观景舒适夜景大床房 天府广场 春熙路（同房型 多库存 随机分配）,整套1室 · 1床 · 可住3人,天府广场/盐市口,¥240,4.4,1307,成都
〖糖酒会〗每客消毒【琥珀】小小世界‖日式榻榻米｜投影影院｜文殊院｜情侣出行‖人民北路地铁站&地铁六号线直达欢乐谷,整套1室 · 1床 · 可住2人,距春熙路直线2.8公里 金牛区,¥228,4.9,6287,成都
枫林晚.宽窄贰，温馨榻榻米大床房.楼下西安路.步行5分钟到奎星楼街宽窄巷子.紧邻地铁4号5号线,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥246,4.8,388,成都
【铭居】1室1厅1卫1厨，独立高层民宅。人民北路地铁/近春熙、太古里、天府广场,整套1室 · 1床 · 可住2人,文殊院/人民北路商业区,¥188,4.8,196,成都
【BUER】不二民宿 ·715 ·夏尼亚 双流机场/空港国际城T5/极米投影仪/美学民宿,整套1室 · 1床 · 可住2人,距成都双流机场直线4.6公里 双流区,¥298,4.9,1049,成都
蓉住民宿/距离成都东客站200米/普通有窗独立大床房/旅行/出差/适合情侣/地铁直达春熙路太古里/月租/乘车/情侣/商务,独立一间11室 · 1床 · 可住2人,火车东站/塔子山公园,¥188,4.9,373,成都
【栖牛.红柚】成都东客站/轻奢风/双地铁口/适合情侣约会亲子出游/近东郊记忆春熙路太古里,整套2室 · 2床 · 可住4人,火车东站/塔子山公园,¥250,4.8,196,成都
【五月】电梯两居 市中心 3号线红星桥站D/曹家巷美食一条街/近339/近春熙路/近建设巷小吃街/楼下明婷饭店,整套2室 · 2床 · 可住4人,距春熙路直线2.1公里 金牛区,¥284,4.9,3569,成都
〖周租优惠〗每客消毒【灰】高清投影|文殊院骡马市商圈|春熙路、天府广场|情侣出行|可住2人‖成都糖酒会,整套1室 · 1床 · 可住2人,距春熙路直线1.5公里 青羊区,¥188,4.9,6682,成都
【蓝汐】大投影仪房/观景房/武侯祠/锦里//宽窄巷子/春熙路/太古里/玉林小酒馆/华西/地铁房,整套1室 · 1床 · 可住2人,锦里/武侯祠,¥238,5.0,22,成都
春熙路太古里精装大床房,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥298,4.6,251,成都
【栖牛.紫陌】成都东客站 |塔子山公园 |近7号线 |独立双卧大床 |大屏投影 |可长租 |一客一换 |每客消毒,整套2室 · 2床 · 可住4人,火车东站/塔子山公园,¥306,4.8,778,成都
【BUER】不二民宿·305·梵高艺术·投影仪/近成都东站/近地铁口春熙路太古里/梵木创业园/凯德广场,整套1室 · 1床 · 可住2人,距春熙路直线6.6公里 成华区,¥298,4.9,587,成都
【栖牛·云海】近9号线武青南路站/星悦荟·商圈/吾悦广场/近大学温馨/私享Loft复式/一居2人,整套1室 · 1床 · 可住2人,红牌楼/双楠商业区,¥220,5.0,50,成都
【凡尘 | 臻彩民宿】太古里/春熙路旁/高端鹅绒被套/极米120寸投影 /索尼家庭影院,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥299,5.0,444,成都
【栖牛·云芸】loft投影套一｜洗衣机丨冰箱｜独立办公｜西南交大｜人民北路｜成都露天音乐公园｜火车北站｜地铁七/五号线,整套1室 · 1床 · 可住2人,成都火车北站/城北客运中心,¥297,5.0,152,成都
【一面之缘】近动物园地铁口/春熙路太古里地铁直达 /近熊猫基地近凤凰山露天音乐公园可住4人闺蜜聚会 /42寸电视可投屏,整套2室 · 2床 · 可住4人,成都火车北站/城北客运中心,¥308,5.0,79,成都
红牌楼地铁站锦里武侯祠春熙路飘窗套三,整套3室 · 3床 · 可住6~7人,距春熙路直线5.4公里 武侯区,¥358,5.0,458,成都
【夜光】原木风/实景拍摄/高清投影/近太古里/春熙路IFS商圈/近地铁/网红小吃街/温馨一居室/客厅沙发床可住四人,整套1室 · 2床 · 可住4人,春熙路/太古里商区,¥398,5.0,48,成都
【栖牛·双馨】｜巨幕投影套二｜太阳公元荟｜建设北路 地铁口100米｜小吃街｜电子科技大学｜连住优惠｜4人居,整套2室 · 2床 · 可住4人,建设路/东郊记忆公园,¥888,5.0,109,成都
「新房特惠」『G HOUSE』顶层视野|二环内|火车北站|宽窄巷子|西南交大|日式中古榻榻米房07,整套1室 · 1床 · 可住2人,成都火车北站/城北客运中心,¥270,5.0,33,成都
【居香名宿】舒适大床房/冰箱洗衣机/近保利广场/近龙湖天街/楼下小吃街等,整套1室 · 1床 · 可住2人,新都地区,¥182,5.0,12,成都
【缦回·缦芸】春熙路太古里地铁口/下楼即是春熙路IFS太古里/高清投影/泡澡浴缸/宽窄巷子/带花园的房间随机安排,整套2室 · 2床 · 可住4~5人,春熙路/太古里商区,¥488,4.9,4402,成都
【闲·舍】带投影三居室三床房,整套3室 · 3床 · 可住6人,春熙路/太古里商区,¥568,5.0,59,成都
【大卫家 -2135】春熙路 太古里 宽窄巷子 天府广场 核心地段 高层观景，4C品质配套+百寸投影二人奢享套房公寓.,整套1室 · 2床 · 可住2~3人,距春熙路直线917米 锦江区,¥298,4.8,975,成都
【双层民宿-禁止焦绿】欢乐麻将房／麻将免费/东郊记忆／龙湖滨江天街／机麻娱乐房／一体饮水机／8号线地铁口,整套1室 · 2床 · 可住4人,火车东站/塔子山公园,¥335,5.0,258,成都
【栖牛.岚烟】成都东客站/轻奢风/双地铁口/适合情侣约会亲子出游/近东郊记忆春熙路太古里,整套2室 · 2床 · 可住4人,火车东站/塔子山公园,¥278,4.8,240,成都
【精装双卧】暑期优选∣影音LOFT∣巨幕投影∣楼下地铁·免费停车∣近西南交大·动物园·东郊记忆∣可开票∣闺蜜亲子,整套1室 · 2床 · 可住4人,成都火车北站/城北客运中心,¥350,5.0,61,成都
【Y+ house】宽窄巷子/奎星楼街美食街/人民公园/天府广场/春熙路/太古里IFS/近地铁，现代简欧温馨亲子套房,整套2室 · 2床 · 可住4人,距春熙路直线2.7公里 青羊区,¥268,5.0,1042,成都
好久不见/温馨双床房/投影仪/宽窄巷子/西安路美食街/中医大省医院/桌游剧本杀/萌宠/花园/永陵博物馆/奎星楼网红街,整套1室 · 2床 · 可住2人,距春熙路直线3.5公里 金牛区,¥224,4.9,519,成都
【Cheese】电竞房  2060显卡    超美景观房 复古设计 超高配置   临街太古里 近春熙路,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥288,5.0,391,成都
三室两厅两卫，有机麻，4台新空调，离堆公园，南桥，西街，杨柳河，周边有各种美食，离南桥100米，,整套3室 · 5床 · 可住9人,都江堰景区及附近,¥386,3.9,23,成都
【蔓舍.木艺】ins风秋千吊椅/拍照/摩洛哥系列/轻纱美屋/百寸投影/双流机场/春熙路/太古里半小时车程,整套1室 · 1床 · 可住2人,距成都双流机场直线4.6公里 双流区,¥210,5.0,1016,成都
【栖牛·锦悦】近4号线/金沙国际商城/翠柳园公园/金沙博物馆/超大loft巨幕投影房/2人居,整套1室 · 1床 · 可住2人,一品天下/金沙遗址附近地区,¥220,5.0,84,成都
琵琶4|巨幕投影/巨幕落地窗/ins复式LOFT/宽窄巷子/双地铁/文殊院/天府广场/春熙路/太古里/锦里/武侯祠,整套2室 · 3床 · 可住6人,文殊院/人民北路商业区,¥455,5.0,116,成都
【三山与海】「时光珍藏」Vintage暖绿复古风.百寸投影.步行春熙太古里IFS.美学民宿【春熙店】,整套1室 · 1床 · 可住2人,距春熙路直线801米 锦江区,¥360,5.0,1408,成都
【BUER】不二民宿 ·1166 ·私人影院 双流机场/空港国际城T5/微鲸高清投影/美学民宿,整套1室 · 1床 · 可住2人,距成都双流机场直线5公里 双流区,¥298,4.9,1156,成都
华西民宿6,整套2室 · 2床 · 可住4~5人,锦里/武侯祠,¥398,4.8,147,成都
【X78】月租优惠/宽窄巷子/市中心/新城市广场/夜猫子夜市/奎星楼网红/loft复式双床大投影/近地铁大床,整套1室 · 2床 · 可住2~3人,距春熙路直线2.9公里 青羊区,¥258,4.3,2237,成都
【聆玺】 中式居家观景夜景三床房 家庭亲子 超高性价比 天府广场 春熙路,整套3室 · 3床 · 可住6人,天府广场/盐市口,¥320,4.4,341,成都
【栖牛.梵城】Loft投影|电子科技大学|龙湖滨江天街|东郊记忆|地铁八号线东郊记忆站|成都理工大学|清新风格|一客一扫,整套1室 · 1床 · 可住2人,火车东站/塔子山公园,¥222,5.0,325,成都
「一半·查理大街1号」太古里旁哥特式风两居，坐拥超大花园露台，步行到达春熙路地铁,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥308,4.7,945,成都
一环路，宽窄巷子，锦里，人民公园附近，华西医院步行到达,整套1室 · 1床 · 可住2人,天府广场/盐市口,¥148,4.5,214,成都
春熙路太古里天府广场机麻、高清极米大投影、茶室地铁房,整套1室 · 2床 · 可住3~4人,春熙路/太古里商区,¥339,5.0,68,成都
「And｜奥利奥」市中心‖宽窄巷子/天府广场/锦里/杜甫草堂/情侣出行/可住2人,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥199,4.8,382,成都
【白梦】春熙路楼上一居室｜近地铁｜纯白空间摄影民宿｜4k投影｜自助入住,整套1室 · 1床 · 可住2人,距春熙路直线432米 锦江区,¥188,4.8,1287,成都
【小茉莉】楼下春熙路||太古里|小吃一条街|雅致双床◆可住3人,整套1室 · 2床 · 可住3人,距春熙路直线<100米 锦江区,¥320,4.7,677,成都
月租喜和家居【茶艺】近春熙路太古里宽窄巷子丽景大床房，ISF，锦里，天府广场，万达，文殊院。,整套2室 · 2床 · 可住4人,距春熙路直线1.6公里 青羊区,¥235,4.7,579,成都
【Dream•氛围party】春熙路太古里/天府广场复古轻奢/100寸投影两居套房,整套2室 · 2床 · 可住4人,文殊院/人民北路商业区,¥488,3.9,496,成都
「And｜南浔」市中心‖宽窄巷子/天府广场/锦里/杜甫草堂/情侣出行/可住2人,整套1室 · 2床 · 可住4人,宽窄巷子/中医学院附近,¥228,5.0,140,成都
【小铃铛】东站对面2号线7号线家庭房二居三床,整套2室 · 3床 · 可住6人,火车东站/塔子山公园,¥378,5.0,46,成都
【新春特惠】熙熙里甄选•可长短租/建设路/电子科大理工大/地铁口/4k高清极影大床房,整套1室 · 1床 · 可住2人,建设路/东郊记忆公园,¥268,4.8,258,成都
「Ms星慕」近天府广场春熙路标准套二,整套2室 · 2床 · 可住4人,天府广场/盐市口,¥488,5.0,190,成都
【宽窄.晴天】{柒}宽窄巷子｜适合情侣｜精致大床,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥258,4.5,19,成都
【乌托邦】清月小舍/临春熙路、太古里、盐市口商圈、日式风的3居室(周租，月租优惠) 近地铁，温馨浪漫爱的小宿,整套3室 · 3床 · 可住6~8人,距春熙路直线922米 锦江区,¥438,4.9,837,成都
【上宸.微】每客消毒|火车东站|成华区温馨复式两居室|适合情侣约会亲子出游|周围地铁交通便利|东郊记忆春熙路太古里,整套2室 · 2床 · 可住4人,火车东站/塔子山公园,¥237,5.0,271,成都
融创雪世界/儿童乐园/钟书阁/都江堰青城山/动车站/北欧风,整套1室 · 1床 · 可住2~3人,玉堂镇及附近,¥178,4.5,360,成都
【星月】电梯两居 寄存行李 春熙路 太古里宽窄巷子 文殊院 动物园 二医院 地铁红星桥 太升路/府南河边  自助入住,整套2室 · 2床 · 可住4~5人,太升路/四川电视塔,¥284,5.0,88,成都
【x27】月租优惠/宽窄巷子/新城市广场/夜猫子/美食打卡奎星楼/4k投影躺看/近地铁/每客一换酒精消毒,整套1室 · 1床 · 可住2人,距春熙路直线2.9公里 青羊区,¥208,4.4,2028,成都
未央@遇见 可住2到4人 春熙路太古里 俯瞰大熊猫,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥358,5.0,162,成都
【拾夕】可住四位/设计师美学民宿/春熙路/太古里/双地铁市二医院地铁口/可商拍/ins风/市中心,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥397,5.0,269,成都
海之蓝投影大幕民宿   下楼就是耍都，锦里／春熙路／太古里／玉林小酒馆／宽窄巷子／华西医院,整套1室 · 1床 · 可住1~2人,锦里/武侯祠,¥158,5.0,8,成都
周租月租折扣 超大户型 机麻房【摩洛公园】设计师民宿 近春熙路 太古里 跃层套四 家庭影院 极米投影仪建设路美食街,整套4室 · 7床 · 可住8~12人,距春熙路直线3.3公里 成华区,¥999,4.8,2053,成都
中海兰庭4栋5/地铁5号线大源地铁站500米/铁像寺水街/环球中心/新会展中心/星宸国际广场/金融城/超美单间拎包入住,独立一间5室 · 1床 · 可住1人,世纪城新会展/环球中心,¥98,4.7,38,成都
【缦回·云洞小院】楼下太古里春熙路IFS-春熙路地铁口-轰趴聚会-智能马桶-私家花园-预约带机麻,整套2室 · 2床 · 可住5~6人,距春熙路直线649米 锦江区,¥528,4.8,16715,成都
【栖牛·海上月】糖酒会/巨幕投影/LOFT/滨江和城/海昌极地海洋公园/南湖梦幻岛/近地铁6号线/亲子出游/情侣约会,整套1室 · 1床 · 可住2人,中和/新川科技园区域,¥190,5.0,591,成都
〖周租优惠〗每客消毒【沐阳】高清投影|文殊院骡马市|春熙路天府广场|情侣出行|可住2人|私人阳台冬日沐浴阳光‖成都糖酒会,整套1室 · 1床 · 可住2人,距春熙路直线1.5公里 青羊区,¥288,4.9,7157,成都
熊猫山舍 圆形抱枕 网红大床房+矿泉水两瓶投影家庭影院 /融创雪世界/滑雪场/青城山/南桥/熊猫谷/融创水世界,整套1室 · 1床 · 可住2人,玉堂镇及附近,¥269,5.0,740,成都
【双床标间】地铁天府广场，春熙路太古里，人民公园，宽窄巷子，锦里武侯祠，文殊院，杜甫草堂,整套1室 · 2床 · 可住2人,天府广场/盐市口,¥258,5.0,74,成都
【已消毒，放心住】亿家民宿北欧风格/动物园/昭觉寺/文殊院/熊猫基地/宽窄巷子,整套1室 · 1床 · 可住2人,距春熙路直线5.1公里 成华区,¥180,4.8,397,成都
【云朵民宿】/四川师范大学成龙校区/龙城一号商业广场公寓/师大现代花园/地铁二号线直达春熙路天府广场/连山坡/三圣花乡,整套1室 · 1床 · 可住2人,龙泉阳光城/百工堰公园,¥208,5.0,58,成都
馨悦民宿（春熙路太古里店） 投影双床房，独立卫生间，经济实用出差旅行方便,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥398,5.0,74,成都
【麦草垛民宿】楼下太古里/春熙路地铁站旁50米/景观阳台/极米百寸投影/独立衣帽间/柔光化妆镜,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥288,5.0,381,成都
周租【港 屿】双流机场-空港国际城-花天锦地-百寸投影-北欧清新大床房,整套1室 · 1床 · 可住2人,双流地区,¥198,4.9,1153,成都
【夜风】投影两居室/楼下就是太古里/近地铁2、3号线/网红小吃街/春熙路太古里IFS商圈/房间实景拍摄,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥531,5.0,34,成都
不二民宿•788•森系•近双流机场/舒适大床/美学民宿,整套1室 · 1床 · 可住2人,双流地区,¥198,5.0,45,成都
奇妙屋自助民宿地铁5号线皇花园店/loft双床/地铁口/巨幕投影/洗衣机冰箱/欢乐谷/熊猫基地/三星堆,整套1室 · 2床 · 可住4人,新都地区,¥218,4.8,1276,成都
1间+一室套房(地中海风格，清新典雅）地铁口/远大购物中心/伊藤,整套1室 · 1床 · 可住2人,中和/新川科技园区域,¥258,5.0,2,成都
【羽葵·拾光】适合约会聚会亲子｜超大LOFT空间｜PS5畅玩｜影音巨屏｜大熊猫基地｜成都动物园｜三号线沿线,整套2室 · 2床 · 可住4~8人,成都火车北站/城北客运中心,¥299,5.0,67,成都
下楼后面就是太古里商圈，距离春熙路三百多米，出大门就超市，小吃，火锅店，公交站，口，走路东门地铁站一百多米,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥168,5.0,42,成都
【木也民宿】熊猫基地/步行至景区800米/保利198公园/原木风/超大悬浮床巨幕投影/开放式厨房/春熙路太古里/定制床品,整套2室 · 2床 · 可住4人,熊猫基地周边,¥345,5.0,134,成都
双人床房4(1.6米*2.0米),整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥188,5.0,17,成都
【栖牛·晚清】（可周租）LOFT投影 | 华西附二院|三圣花乡| 2号线洪河|北欧风 |2人居大床房| 情侣约会,整套1室 · 1床 · 可住2人,琉璃厂/三圣花乡商业区,¥200,4.8,1882,成都
【暮逸.甄选】1.8米×2.0米大床/极米投影仪/百寸幕布/烘干洗衣机/冰箱/,整套1室 · 1床 · 可住2人,成都火车北站/城北客运中心,¥310,5.0,54,成都
【已消毒】摩洛哥阳光房春熙路太古里IFS天府广场双地铁,整套1室 · 2床 · 可住4人,距春熙路直线456米 锦江区,¥500,4.7,1185,成都
宽窄巷子旁，精致双床房，高清投影 | 近地铁与景区｜1公里内：省二中医院｜中医药大学｜省医院｜省妇女儿童医院 可长租做饭,整套1室 · 2床 · 可住4~6人,距春熙路直线3公里 金牛区,¥300,5.0,347,成都
【温馨】花千集公寓+近龙湖上城天街+荷花池广场+万达广场／近人民北路地铁站/超大巨幕投影+带洗衣机/温馨舒适风,整套2室 · 2床 · 可住4人,成都火车北站/城北客运中心,¥331,4.8,291,成都
有屋｜经典loft跃层投影套一/楼下就是地铁站/成都东站/四川师范/春熙路太古里,整套1室 · 1床 · 可住2人,锦华万达、四川师范大学商业区,¥236,4.1,55,成都
《每客消毒》独享整套房源/近塔子山公园/成都东站/绿地中心/127平超大平层/套三双卫,整套3室 · 3床 · 可住6~7人,火车东站/塔子山公园,¥458,5.0,100,成都
可长租『御•』人民北路地铁口/市中心/一环内/双商场 地铁/春熙路8分钟/楼下小吃一条街/落地窗,整套2室 · 2床 · 可住4人,文殊院/人民北路商业区,¥358,5.0,593,成都
【沐安隐舍】（抚琴）榻榻米房/都江堰青城/近大观镇/太平镇/益智玩具,整套2室 · 3床 · 可住4人,青城外山地区,¥318,5.0,170,成都
〖周租优惠〗「曹家巷｜月白」市中心‖每客消毒/曹家巷广场/红星桥地铁站/成都339/家庭出行/可住12人,整套3室 · 6床 · 可住12人,太升路/四川电视塔,¥877,5.0,353,成都
【美宿】近成都东站loft公寓  独立厨卫  ins北欧简约大床 可停车/地铁口,整套1室 · 1床 · 可住2人,火车东站/塔子山公园,¥188,5.0,49,成都
特价[暖暖]+春熙路太古里旁+高清投影+机场大巴直达+熊猫基地+地铁2、3号线+华西医院+天府广场+人民公园 晚上安静,整套1室 · 2床 · 可住2~3人,春熙路/太古里商区,¥308,5.0,201,成都
已消毒【三毛家】大学城西南财经大学交院/国色天香/地铁四号线/家庭影院大套房/小短租,整套2室 · 2床 · 可住4~5人,距成都温江国色天香直线3.4公里 温江区,¥159,4.8,1040,成都
【XF】近春熙路太古里/楼下即3号线地铁/红星桥地铁/建设路/339熊猫塔/大套房,整套1室 · 1床 · 可住2人,太升路/四川电视塔,¥280,5.0,322,成都
迎兴公寓【倾心精致双人房】一室一卫｜成都东站|近2.7号地铁|独立卫浴|步行388m|情侣差旅|春熙路太古里,独立一间1室 · 1床 · 可住2人,距成都东站直线522米 成华区,¥112,4.9,14221,成都
【宽窄.晴天】{伍}宽窄巷子｜适合家庭｜现房比图片更好看｜精致大床,整套2室 · 2床 · 可住2~4人,宽窄巷子/中医学院附近,¥320,5.0,47,成都
近春熙路天府广场摩洛哥风情,整套3室 · 3床 · 可住4~6人,天府广场/盐市口,¥373,4.8,99,成都
【呦呦·奶油】奶油诧寂套一大床/太古里商圈/春熙路/熊猫屁股打卡/巨幕投影,整套1室 · 1床 · 可住2~3人,春熙路/太古里商区,¥408,5.0,303,成都
【栖牛·星河】大屏投影/成都东客站/摩洛哥异域风/适合情侣亲子出游/近东郊记忆春熙路太古里,整套1室 · 1床 · 可住2人,火车东站/塔子山公园,¥222,5.0,81,成都
「And｜白色风车」市中心‖宽窄巷子/天府广场/锦里/杜甫草堂/情侣出行/可住2人,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥198,5.0,228,成都
春熙路、太古里商圈\市中心\宽窄巷子\锦里\春熙路地铁,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥309,5.0,122,成都
【初心民宿】巨幕投影仪/大床房/近太古里/春熙路/交通便利可长租,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥195,5.0,125,成都
宁静一夏/融创溪山樾/简欧风/套二,整套2室 · 2床 · 可住4人,玉堂镇及附近,¥268,4.3,42,成都
【哈喽京都】就在春熙路呢~毗邻太古里/可直达熊猫基地/宽窄巷子/地铁口/投影房/法式/奶油风/套二双床超大客厅卧室,整套2室 · 2床 · 可住4~6人,春熙路/太古里商区,¥288,4.7,82,成都
「And｜红莓玛丽」市中心‖宽窄巷子/天府广场/锦里/杜甫草堂/情侣出行/可住2人,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥229,5.0,326,成都
【熹宿.Shiny house】春熙路/太古里/超美景观浴缸/屋顶花园沙滩椅/度假风复式保洁严格消毒,整套2室 · 2床 · 可住4~6人,距春熙路直线1.4公里 锦江区,¥508,4.9,2536,成都
【唯爱驿站】春熙路太古里/天府广场地铁一二号线/盐市口/青石桥通宵大排档/惬意一居/阳台洗衣机落地窗/收押金,整套1室 · 1床 · 可住2人,距春熙路直线725米 锦江区,¥285,5.0,370,成都
【云朵儿】成都理工大学/东郊记忆/十里店地铁站100寸高清巨幕投影仪私人影院近地铁8号线7号线,整套1室 · 1床 · 可住2人,建设路/东郊记忆公园,¥225,4.8,1086,成都
Sunny*麻将机（需提前预订收费）近地铁口 春熙路 太古里 IFS，家庭跃式投影Loft，四床可八人住,整套2室 · 4床 · 可住8~9人,距春熙路直线447米 锦江区,¥478,5.0,869,成都
【茹悠民宿】牛王庙/近地铁/春熙路/太古里/三室一厅/奶油风/ins风,整套3室 · 3床 · 可住6人,水碾河/万象城,¥369,5.0,98,成都
『出差优选』3分钟直达春熙路｜简约纯白投影双床套房｜近地铁｜IFS｜大熊猫,整套1室 · 2床 · 可住4人,春熙路/太古里商区,¥328,4.6,120,成都
番茄【晨曦】太古里/春熙路/文殊院/loft高楼层三床/百寸投影,整套2室 · 3床 · 可住6人,文殊院/人民北路商业区,¥811,5.0,133,成都
《GRACE 耶宿》每客消毒纯白拱门/春熙路/太古里/华西医院/锦里武侯祠,整套3室 · 3床 · 可住3~6人,距春熙路直线2.2公里 武侯区,¥423,4.9,795,成都
亏本月租春熙路太古里，双地铁3/4号线地铁口，市二人民医院，宽窄巷子，天府广场，339/寄存行李/家庭双床房,整套1室 · 2床 · 可住4人,距春熙路直线897米 锦江区,¥326,4.9,4294,成都
【未满.罗马假日】月租4700｜可住四人｜浪漫约会｜腾讯大厦｜天府二街｜环球中心 SKP｜天府三街地铁站｜软件园｜影院房,整套1室 · 2床 · 可住4人,世纪城新会展/环球中心,¥330,5.0,44,成都
每客消毒【home+】睡个好觉大床房&高清投影&文殊院&情侣出行‖人民北路地铁站&地铁六号线直达欢乐谷‖成都糖酒会,整套1室 · 1床 · 可住2人,文殊院/人民北路商业区,¥188,4.9,1226,成都
【少城】市中心交通便利/洗衣机 冰箱 小米电视/1号线文殊院地铁H口/近春熙路太古里/天府广场/宽窄巷子/实拍房型,整套1室 · 1床 · 可住2人,文殊院/人民北路商业区,¥229,4.8,720,成都
【x05】宽窄巷子/新城市广场/奎星楼/近地铁/投影ins大床/每客一换消毒,整套1室 · 1床 · 可住2人,距春熙路直线2.9公里 青羊区,¥198,4.2,8505,成都
「欢喜」极米超大投影房｜楼下太古里IFS｜春熙路｜多套房源可供选择｜双地铁可到,整套1室 · 1床 · 可住2人,春熙路/太古里商区,¥302,4.8,603,成都
【栖牛·云溪】loft独立套二｜西南交大｜洗衣机烘干机｜五一精选｜成都大学附属医院｜九里堤｜火车北站｜邻近地铁｜家庭出游,整套2室 · 2床 · 可住3人,成都火车北站/城北客运中心,¥411,5.0,171,成都
「And｜阿黛尔」市中心‖宽窄巷子/天府广场/锦里/杜甫草堂/情侣出行/可住2人,整套1室 · 1床 · 可住2人,宽窄巷子/中医学院附近,¥238,4.8,369,成都
番茄【暖阳】下楼太古里/春熙路/IFS/超大投影/近地铁/美食街/商圈中心,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥668,5.0,132,成都
零压LOFT/免费停车/落地窗/楼下地铁/城景大床房,整套1室 · 1床 · 可住2人,成都火车北站/城北客运中心,¥248,4.8,290,成都
【太古里流星花园电影房】房源已消毒/春熙路太古里流星花园小区+宽窄巷子+市二医院,整套1室 · 1床 · 可住2人,距春熙路直线973米 锦江区,¥318,4.6,745,成都
（正成财富的名宿）春熙路/太古里/王府井/IFS/市二医院/近地铁/可做饭/独享整套房原，两室两床零厅，可住四人,整套2室 · 2床 · 可住4人,春熙路/太古里商区,¥278,4.2,304,成都
